0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0.99999994,0.76601374,0.87116176,0.7567231,0.6265817,0.70294845,0.75290203,0.7418772,0.7774651,0.8204085,0.70183736,0.8212495,0.6035436,0.71338594,0.80955833,0.69768184,0.7812964,0.66491455,0.76589715,0.7672825,0.7959567,0.6881124,0.6626046,0.8412855,0.68865734,0.6634807,0.76771075,0.6567571,0.805681,0.69756645,0.8058276,0.64480036,0.5326134,0.66156614,0.65582794,0.61773986,0.6952142,0.7645639
0.76601374,1.0,0.6883461,0.80732363,0.28996474,0.47334728,0.7729359,0.5743134,0.6951728,0.70486987,0.3477283,0.4561997,0.32235566,0.57704943,0.45921475,0.44521102,0.46153224,0.5560591,0.5928888,0.7953882,0.47279587,0.42596176,0.3346061,0.6875398,0.41299206,0.47099245,0.38336354,0.34627694,0.65032864,0.5926482,0.6547182,0.37824076,0.2672843,0.560523,0.3400912,0.84412044,0.5802118,0.532037
0.87116176,0.6883461,0.9999996,0.7000723,0.5045833,0.7364489,0.7037536,0.7072846,0.6461865,0.6374561,0.57684666,0.783731,0.5772321,0.54484886,0.70079744,0.48545974,0.63620985,0.5206483,0.6531275,0.65040755,0.64256364,0.7563437,0.7304055,0.6971165,0.5630155,0.57442695,0.6454772,0.57762337,0.6173535,0.54186267,0.63377726,0.51197684,0.6324756,0.49033338,0.42302814,0.67265946,0.5574716,0.6867477
0.7567231,0.80732363,0.7000723,0.9999999,0.3226458,0.50023425,0.6779869,0.6177089,0.6667718,0.6513537,0.38941023,0.53595096,0.35801935,0.52570945,0.4716968,0.52899307,0.5231837,0.57248837,0.60524386,0.71869653,0.49411392,0.48506895,0.4116945,0.6513483,0.4601632,0.535254,0.45776275,0.43047962,0.6104569,0.6279191,0.61416006,0.43610895,0.3261537,0.440091,0.37584904,0.63606054,0.58052784,0.58818084
0.6265817,0.28996474,0.5045833,0.3226458,1.0000001,0.4417195,0.28473982,0.39516568,0.39789578,0.44676396,0.70632476,0.77897805,0.5813623,0.2979158,0.78476536,0.48440954,0.5763135,0.28056347,0.40637454,0.35277072,0.7955752,0.4137046,0.5895535,0.4027707,0.38234615,0.32444674,0.54775655,0.40931475,0.48579547,0.3691195,0.45422205,0.46840698,0.36107635,0.27369115,0.5093027,0.29501364,0.39271525,0.46054015
0.70294845,0.47334728,0.7364489,0.50023425,0.4417195,0.99999994,0.48764777,0.59719443,0.73031706,0.42685118,0.45669168,0.5578366,0.5374468,0.39840615,0.4638029,0.4476747,0.49553686,0.46679738,0.5325783,0.42414543,0.45796877,0.7616604,0.64104617,0.5237433,0.58799464,0.61341065,0.551273,0.6139588,0.46770313,0.33933777,0.4485116,0.60286534,0.6232374,0.34306014,0.38493872,0.43317676,0.3934336,0.5427629
0.75290203,0.7729359,0.7037536,0.6779869,0.28473982,0.48764777,1.0000002,0.7152928,0.69234186,0.6299666,0.2781664,0.48824513,0.26570746,0.6242549,0.4841649,0.376839,0.47861344,0.5210534,0.53475344,0.6760423,0.46039027,0.44468296,0.3073702,0.6953232,0.44222134,0.46365193,0.4575564,0.37259382,0.5771104,0.7201455,0.6174628,0.3593163,0.24388741,0.56792414,0.33327568,0.5781419,0.59154356,0.5574376
0.7418772,0.5743134,0.7072846,0.6177089,0.39516568,0.59719443,0.7152928,1.0000005,0.6458668,0.56412417,0.35416692,0.55446804,0.3652311,0.52714,0.558158,0.43392798,0.5275773,0.506666,0.6455501,0.59345686,0.51158166,0.5818708,0.46537495,0.6016794,0.5486198,0.50389475,0.5115707,0.54920477,0.5444412,0.5710014,0.5243267,0.48945248,0.41009498,0.4702236,0.3837593,0.41875437,0.5265823,0.63648087
0.7774651,0.6951728,0.6461865,0.6667718,0.39789578,0.73031706,0.69234186,0.6458668,1.0000002,0.6683915,0.3867057,0.5098786,0.35257667,0.6035192,0.51082057,0.4927335,0.5684452,0.56149286,0.5277529,0.6341299,0.5066767,0.5158348,0.39371446,0.66804844,0.5279353,0.5499083,0.5065895,0.43508983,0.5992114,0.628199,0.62148875,0.49707025,0.35120302,0.53841525,0.46218303,0.5273893,0.63693345,0.5270792
0.8204085,0.70486987,0.6374561,0.6513537,0.44676396,0.42685118,0.6299666,0.56412417,0.6683915,0.99999917,0.5213305,0.6159507,0.3408676,0.70630026,0.7181027,0.51813906,0.64453495,0.526172,0.6229896,0.74570006,0.653049,0.40241835,0.3918796,0.711836,0.47868732,0.44239232,0.5472838,0.4003703,0.6939554,0.70887554,0.69036007,0.41215655,0.29463783,0.6328006,0.51727295,0.51992166,0.754337,0.5444391
0.70183736,0.3477283,0.57684666,0.38941023,0.70632476,0.45669168,0.2781664,0.35416692,0.3867057,0.5213305,1.0000001,0.8057152,0.7435283,0.36890125,0.7718011,0.6246216,0.7897197,0.3563082,0.46264118,0.41496843,0.7512134,0.4525173,0.64310515,0.5062936,0.48671755,0.3824846,0.6815412,0.44818112,0.58138,0.36803806,0.52608067,0.46220678,0.45949382,0.3267654,0.65495527,0.30779013,0.37316534,0.47343436
0.8212495,0.4561997,0.783731,0.53595096,0.77897805,0.5578366,0.48824513,0.55446804,0.5098786,0.6159507,0.8057152,1.0000001,0.65367097,0.458219,0.89647835,0.56168145,0.73326254,0.40571082,0.55898553,0.5546837,0.85241014,0.5748222,0.7472379,0.6136506,0.55816793,0.4627453,0.7096146,0.51087755,0.59908986,0.5155431,0.6006983,0.5138423,0.5011516,0.3962165,0.54898417,0.41751876,0.5013274,0.6496649
0.6035436,0.32235566,0.5772321,0.35801935,0.5813623,0.5374468,0.26570746,0.3652311,0.35257667,0.3408676,0.7435283,0.65367097,0.9999998,0.25606427,0.54544836,0.4106986,0.6125198,0.31644753,0.42983982,0.29267555,0.5217152,0.5326012,0.7038183,0.35794455,0.5389141,0.504337,0.51708966,0.44548085,0.3812388,0.19553879,0.34248865,0.42593506,0.5718585,0.2270826,0.36020815,0.3005549,0.23701447,0.40618834
0.71338594,0.57704943,0.54484886,0.52570945,0.2979158,0.39840615,0.6242549,0.52714,0.6035192,0.70630026,0.36890125,0.458219,0.25606427,1.0000004,0.5286241,0.3998343,0.52587235,0.73559666,0.522046,0.6091625,0.45714834,0.40335044,0.3079062,0.55283326,0.40201616,0.570811,0.7518685,0.39118236,0.5546387,0.57308596,0.5431043,0.3243977,0.24849239,0.6208166,0.5913309,0.39484823,0.5664842,0.45803317
0.80955833,0.45921475,0.70079744,0.4716968,0.78476536,0.4638029,0.4841649,0.558158,0.51082057,0.7181027,0.7718011,0.89647835,0.54544836,0.5286241,1.0000002,0.557232,0.7206634,0.4020708,0.58993655,0.5686241,0.8708145,0.485432,0.5985839,0.6313503,0.4480551,0.39639154,0.6816729,0.47788548,0.6365359,0.5786264,0.6190092,0.4694641,0.38553825,0.4786242,0.60334045,0.39712828,0.567476,0.62538654
0.69768184,0.44521102,0.48545974,0.52899307,0.48440954,0.4476747,0.376839,0.43392798,0.4927335,0.51813906,0.6246216,0.56168145,0.4106986,0.3998343,0.557232,1.0000001,0.6056746,0.46447682,0.5284142,0.46763724,0.71371984,0.42946103,0.40896785,0.6427068,0.49676496,0.47195137,0.58894676,0.5665394,0.78241223,0.4738606,0.72131497,0.5595834,0.32447547,0.45981994,0.7390729,0.34338403,0.43912116,0.5831034
0.7812964,0.46153224,0.63620985,0.5231837,0.5763135,0.49553686,0.47861344,0.5275773,0.5684452,0.64453495,0.7897197,0.73326254,0.6125198,0.52587235,0.7206634,0.6056746,0.99999994,0.48068184,0.5012353,0.5094168,0.68895394,0.501059,0.5447129,0.61190426,0.57135695,0.51111287,0.7156775,0.4456159,0.5970069,0.570892,0.60708356,0.47266975,0.38932377,0.47202018,0.67755735,0.33344898,0.5445551,0.51400447
0.66491455,0.5560591,0.5206483,0.57248837,0.28056347,0.46679738,0.5210534,0.506666,0.56149286,0.526172,0.3563082,0.40571082,0.31644753,0.73559666,0.4020708,0.46447682,0.48068184,0.99999994,0.596304,0.57800424,0.4087438,0.47169045,0.38619325,0.53374803,0.41607648,0.5256115,0.64408225,0.48294768,0.52076435,0.5090103,0.5259197,0.3837203,0.34399068,0.5507679,0.527099,0.36675066,0.52510047,0.4877403
0.76589715,0.5928888,0.6531275,0.60524386,0.40637454,0.5325783,0.53475344,0.6455501,0.5277529,0.6229896,0.46264118,0.55898553,0.42983982,0.522046,0.58993655,0.5284142,0.5012353,0.596304,0.99999994,0.66688776,0.5208076,0.622356,0.5614909,0.6861816,0.5866757,0.48426542,0.5356179,0.68315,0.6693779,0.44164407,0.5625473,0.6079979,0.45536938,0.5017129,0.4428408,0.46208632,0.47554696,0.66648465
0.7672825,0.7953882,0.65040755,0.71869653,0.35277072,0.42414543,0.6760423,0.59345686,0.6341299,0.74570006,0.41496843,0.5546837,0.29267555,0.6091625,0.5686241,0.46763724,0.5094168,0.57800424,0.66688776,1.0000005,0.5621514,0.39335224,0.35930482,0.70704484,0.4413364,0.40319824,0.46161148,0.39562106,0.67494273,0.65462625,0.68305206,0.35235906,0.26132232,0.50701284,0.42354855,0.6312127,0.6295362,0.6481856
0.7959567,0.47279587,0.64256364,0.49411392,0.7955752,0.45796877,0.46039027,0.51158166,0.5066767,0.653049,0.7512134,0.85241014,0.5217152,0.45714834,0.8708145,0.71371984,0.68895394,0.4087438,0.5208076,0.5621514,0.9999999,0.4687859,0.5570596,0.6500661,0.4616425,0.43151116,0.6811656,0.49731156,0.7632339,0.5803395,0.75062585,0.51470494,0.3642517,0.46386355,0.7098185,0.4094951,0.5783532,0.67468023
0.6881124,0.42596176,0.7563437,0.48506895,0.4137046,0.7616604,0.44468296,0.5818708,0.5158348,0.40241835,0.4525173,0.5748222,0.5326012,0.40335044,0.485432,0.42946103,0.501059,0.47169045,0.622356,0.39335224,0.4687859,1.0000001,0.62347525,0.50702685,0.66326946,0.5971373,0.62254536,0.73824435,0.49783874,0.29346365,0.45991805,0.6111644,0.6746238,0.31591353,0.43727943,0.3701745,0.37945613,0.58649105
0.6626046,0.3346061,0.7304055,0.4116945,0.5895535,0.64104617,0.3073702,0.46537495,0.39371446,0.3918796,0.64310515,0.7472379,0.7038183,0.3079062,0.5985839,0.40896785,0.5447129,0.38619325,0.5614909,0.35930482,0.5570596,0.62347525,1.0000002,0.43888456,0.5342636,0.43087128,0.55835843,0.5630562,0.43675458,0.25603387,0.4025463,0.5181355,0.7634942,0.2641554,0.34890187,0.35112518,0.30663297,0.4932711
0.8412855,0.6875398,0.6971165,0.6513483,0.4027707,0.5237433,0.6953232,0.6016794,0.66804844,0.711836,0.5062936,0.6136506,0.35794455,0.55283326,0.6313503,0.6427068,0.61190426,0.53374803,0.6861816,0.70704484,0.6500661,0.50702685,0.43888456,1.0000001,0.5560489,0.47993207,0.55175287,0.56130767,0.7441799,0.6579694,0.8590949,0.59078515,0.36258063,0.7118676,0.5337622,0.53408116,0.6524486,0.7100099
0.68865734,0.41299206,0.5630155,0.4601632,0.38234615,0.58799464,0.44222134,0.5486198,0.5279353,0.47868732,0.48671755,0.55816793,0.5389141,0.40201616,0.4480551,0.49676496,0.57135695,0.41607648,0.5866757,0.4413364,0.4616425,0.66326946,0.5342636,0.5560489,1.0,0.60121185,0.5639034,0.64001626,0.5022581,0.3790187,0.48041773,0.6995465,0.5384819,0.3853762,0.4536538,0.29516172,0.4012043,0.56682605
0.6634807,0.47099245,0.57442695,0.535254,0.32444674,0.61341065,0.46365193,0.50389475,0.5499083,0.44239232,0.3824846,0.4627453,0.504337,0.570811,0.39639154,0.47195137,0.51111287,0.5256115,0.48426542,0.40319824,0.43151116,0.5971373,0.43087128,0.47993207,0.60121185,0.9999999,0.61157316,0.5138912,0.45354697,0.30237532,0.4436278,0.5251841,0.44002298,0.38975778,0.4470331,0.3617733,0.36561182,0.5421758
0.76771075,0.38336354,0.6454772,0.45776275,0.54775655,0.551273,0.4575564,0.5115707,0.5065895,0.5472838,0.6815412,0.7096146,0.51708966,0.7518685,0.6816729,0.58894676,0.7156775,0.64408225,0.5356179,0.46161148,0.6811656,0.62254536,0.55835843,0.55175287,0.5639034,0.61157316,1.0000006,0.62056017,0.6140121,0.49931985,0.57397777,0.52613395,0.45829985,0.4794635,0.76682246,0.26828337,0.49585056,0.5933277
0.6567571,0.34627694,0.57762337,0.43047962,0.40931475,0.6139588,0.37259382,0.54920477,0.43508983,0.4003703,0.44818112,0.51087755,0.44548085,0.39118236,0.47788548,0.5665394,0.4456159,0.48294768,0.68315,0.39562106,0.49731156,0.73824435,0.5630562,0.56130767,0.64001626,0.5138912,0.62056017,1.0000001,0.58249605,0.31423998,0.503542,0.72642434,0.5623947,0.3441804,0.51982385,0.26241523,0.342855,0.69606173
0.805681,0.65032864,0.6173535,0.6104569,0.48579547,0.46770313,0.5771104,0.5444412,0.5992114,0.6939554,0.58138,0.59908986,0.3812388,0.5546387,0.6365359,0.78241223,0.5970069,0.52076435,0.6693779,0.67494273,0.7632339,0.49783874,0.43675458,0.7441799,0.5022581,0.45354697,0.6140121,0.58249605,0.9999999,0.59849674,0.8694825,0.5141536,0.32535154,0.53787243,0.7032483,0.50371176,0.56370217,0.6673371
0.69756645,0.5926482,0.54186267,0.6279191,0.3691195,0.33933777,0.7201455,0.5710014,0.628199,0.70887554,0.36803806,0.5155431,0.19553879,0.57308596,0.5786264,0.4738606,0.570892,0.5090103,0.44164407,0.65462625,0.5803395,0.29346365,0.25603387,0.6579694,0.3790187,0.30237532,0.49931985,0.31423998,0.59849674,0.9999998,0.6591965,0.32681927,0.13654605,0.5294634,0.4649898,0.39685622,0.75291294,0.5042654
0.8058276,0.6547182,0.63377726,0.61416006,0.45422205,0.4485116,0.6174628,0.5243267,0.62148875,0.69036007,0.52608067,0.6006983,0.34248865,0.5431043,0.6190092,0.72131497,0.60708356,0.5259197,0.5625473,0.68305206,0.75062585,0.45991805,0.4025463,0.8590949,0.48041773,0.4436278,0.57397777,0.503542,0.8694825,0.6591965,0.9999998,0.5093305,0.32516295,0.6414494,0.66162086,0.49333826,0.67843366,0.6640019
0.64480036,0.37824076,0.51197684,0.43610895,0.46840698,0.60286534,0.3593163,0.48945248,0.49707025,0.41215655,0.46220678,0.5138423,0.42593506,0.3243977,0.4694641,0.5595834,0.47266975,0.3837203,0.6079979,0.35235906,0.51470494,0.6111644,0.5181355,0.59078515,0.6995465,0.5251841,0.52613395,0.72642434,0.5141536,0.32681927,0.5093305,0.99999994,0.50238895,0.36102027,0.5154364,0.30198812,0.37035286,0.6391685
0.5326134,0.2672843,0.6324756,0.3261537,0.36107635,0.6232374,0.24388741,0.41009498,0.35120302,0.29463783,0.45949382,0.5011516,0.5718585,0.24849239,0.38553825,0.32447547,0.38932377,0.34399068,0.45536938,0.26132232,0.3642517,0.6746238,0.7634942,0.36258063,0.5384819,0.44002298,0.45829985,0.5623947,0.32535154,0.13654605,0.32516295,0.50238895,1.0000001,0.2077853,0.264341,0.26463908,0.2296958,0.40697804
0.66156614,0.560523,0.49033338,0.440091,0.27369115,0.34306014,0.56792414,0.4702236,0.53841525,0.6328006,0.3267654,0.3962165,0.2270826,0.6208166,0.4786242,0.45981994,0.47202018,0.5507679,0.5017129,0.50701284,0.46386355,0.31591353,0.2641554,0.7118676,0.3853762,0.38975778,0.4794635,0.3441804,0.53787243,0.5294634,0.6414494,0.36102027,0.2077853,0.9999998,0.43746948,0.40318194,0.54859227,0.4686361
0.65582794,0.3400912,0.42302814,0.37584904,0.5093027,0.38493872,0.33327568,0.3837593,0.46218303,0.51727295,0.65495527,0.54898417,0.36020815,0.5913309,0.60334045,0.7390729,0.67755735,0.527099,0.4428408,0.42354855,0.7098185,0.43727943,0.34890187,0.5337622,0.4536538,0.4470331,0.76682246,0.51982385,0.7032483,0.4649898,0.66162086,0.5154364,0.264341,0.43746948,1.0000002,0.2217035,0.4652208,0.53209007
0.61773986,0.84412044,0.67265946,0.63606054,0.29501364,0.43317676,0.5781419,0.41875437,0.5273893,0.51992166,0.30779013,0.41751876,0.3005549,0.39484823,0.39712828,0.34338403,0.33344898,0.36675066,0.46208632,0.6312127,0.4094951,0.3701745,0.35112518,0.53408116,0.29516172,0.3617733,0.26828337,0.26241523,0.50371176,0.39685622,0.49333826,0.30198812,0.26463908,0.40318194,0.2217035,1.0,0.38411137,0.43446508
0.6952142,0.5802118,0.5574716,0.58052784,0.39271525,0.3934336,0.59154356,0.5265823,0.63693345,0.754337,0.37316534,0.5013274,0.23701447,0.5664842,0.567476,0.43912116,0.5445551,0.52510047,0.47554696,0.6295362,0.5783532,0.37945613,0.30663297,0.6524486,0.4012043,0.36561182,0.49585056,0.342855,0.56370217,0.75291294,0.67843366,0.37035286,0.2296958,0.54859227,0.4652208,0.38411137,1.0,0.4963678
0.7645639,0.532037,0.6867477,0.58818084,0.46054015,0.5427629,0.5574376,0.63648087,0.5270792,0.5444391,0.47343436,0.6496649,0.40618834,0.45803317,0.62538654,0.5831034,0.51400447,0.4877403,0.66648465,0.6481856,0.67468023,0.58649105,0.4932711,0.7100099,0.56682605,0.5421758,0.5933277,0.69606173,0.6673371,0.5042654,0.6640019,0.6391685,0.40697804,0.4686361,0.53209007,0.43446508,0.4963678,1.0000001
